SegmentName:,X-coord:,Y-coord:,Z-coord:,Area:,Elasticity:,Thickness:,Radius:,Type:,BC:,Total Nodes:
left_anterior_tibial_artery,92.515,-94.307,230.85,4.3E-06,800000,0.0003,3.1981,Artery,,
left_anterior_tibial_artery,92.994,-94.639,205.91,4.3E-06,800000,0.0003,3.1244,Artery,,
left_anterior_tibial_artery,91.954,-93.713,178.4,4.3E-06,800000,0.0003,3.0409,Artery,,
left_anterior_tibial_artery,90.012,-90.922,143.8,4.3E-06,800000,0.0003,2.9298,Artery,,
left_anterior_tibial_artery,87.342,-89.11,101.54,4.3E-06,800000,0.0003,2.7969,Artery,,
left_anterior_tibial_artery,79.264,-94.82,52.204,4.3E-06,800000,0.0003,2.6389,Artery,,
left_anterior_tibial_artery,70.771,-91.9,6.5887,4.3E-06,800000,0.0003,2.2518,Artery,terminal,
right_common_iliac_artery,-11.871,-120.84,934.6,6E-05,400000,0.0007,5.3578,Artery,,
right_common_iliac_artery,-32.747,-109.506,905.234,6E-05,400000,0.0007,4.2705,Artery,bifurcation,
right_internal_iliac_artery,-28.0421,-98.2035,886.752,2.5E-05,400000,0.0006,2.6312,Artery,,
right_internal_iliac_artery,-28.7275,-80.1093,872.251,1E-05,400000,0.0006,2.4715,Artery,,
right_internal_iliac_artery,-33.1619,-59.8649,862.965,1E-05,400000,0.0006,2.1059,Artery,,
right_internal_iliac_artery,-41.1826,-41.867,856.117,1E-05,400000,0.0006,3.4872,Artery,terminal,
right_external_iliac_artery,-46.443,-92.773,889.17,3.5E-05,400000,0.0006,4.4719,Artery,,
right_external_iliac_artery,-54.489,-83.096,872.19,3.2E-05,400000,0.0006,4.3052,Artery,,
right_external_iliac_artery,-57.055,-92.387,843.35,3.2E-05,400000,0.0006,4.0845,Artery,,
right_external_iliac_artery,-54.256,-118.59,822.45,3.2E-05,400000,0.0006,4.238,Artery,bifurcation,
right_deep_femoral_artery,-68.7608,-131.307,786.299,1.5E-05,400000,0.0005,3.2109,Artery,,
right_deep_femoral_artery,-78.9543,-125.329,758.254,1.5E-05,400000,0.0005,2.9628,Artery,,
right_deep_femoral_artery,-82.17,-117.57,728.46,1.5E-05,400000,0.0005,2.7087,Artery,,
right_deep_femoral_artery,-80.7238,-113.703,690.713,1.5E-05,400000,0.0005,2.4133,Artery,,
right_deep_femoral_artery,-79.825,-112.75,639.63,1.5E-05,400000,0.0005,2.096,Artery,,
right_deep_femoral_artery,-76.74,-116.83,595.34,1.5E-05,400000,0.0005,1.7059,Artery,,
right_deep_femoral_artery,-71.896,-112.19,556.29,1.5E-05,400000,0.0005,1.4028,Artery,,
right_deep_femoral_artery,-62.428,-89.607,513.06,1.5E-05,400000,0.0005,0.83032,Artery,terminal,
right_femoral_artery,-50.318,-135.53,786.91,3E-05,400000,0.0006,5.3533,Artery,,
right_femoral_artery,-48.76,-137.88,744.3,3E-05,400000,0.0006,5.9838,Artery,,
right_femoral_artery,-45.412,-136.24,680.01,2.75E-05,400000,0.0006,5.3614,Artery,,
right_femoral_artery,-43.354,-122.07,603.09,2.5E-05,400000,0.0006,5.3017,Artery,,
right_femoral_artery,-47.215,-110.23,536.78,1.8E-05,400000,0.0006,5.5211,Artery,,
right_femoral_artery,-60.821,-90.503,475.14,1.8E-05,400000,0.0006,4.6403,Artery,bifurcation,
right_profundus_artery,-47.662,-108.59,459.38,1E-05,400000,0.0006,2.8487,Artery,,
right_profundus_artery,-40.646,-104.91,439.53,1E-05,400000,0.0006,2.3414,Artery,,
right_profundus_artery,-39.809,-95.269,418.51,1E-05,400000,0.0006,1.8438,Artery,,
right_profundus_artery,-51.037,-103.06,398.44,1E-05,400000,0.0006,1.1359,Artery,terminal,
right_popliteal_artery,-70.116,-76.097,452.03,1.8E-05,400000,0.0006,4.7739,Artery,,
right_popliteal_artery,-72.996,-63.039,416.32,1.8E-05,400000,0.0006,4.4971,Artery,,
right_popliteal_artery,-74.649,-57.619,389.9,1.8E-05,400000,0.0006,4.3019,Artery,,
right_popliteal_artery,-76.789,-59.441,369.01,1.8E-05,400000,0.0006,4.1468,Artery,,
right_popliteal_artery,-81.428,-66.777,342.33,1.8E-05,400000,0.0006,3.9448,Artery,,
right_popliteal_artery,-91.1651,-70.8715,318.998,1.8E-05,400000,0.0006,3.753,Artery,,
right_popliteal_artery,-90.744,-65.749,300.12,1.8E-05,400000,0.0006,3.5996,Artery,,
right_popliteal_artery,-88.211,-55.945,286.45,1.8E-05,400000,0.0006,3.0849,Artery,bifurcation,
right_posterior_tibial_artery,-78.237,-58.058,262.86,4.8E-06,800000,0.0003,2.8548,Artery,,
right_posterior_tibial_artery,-68.83,-60.822,231.81,4.8E-06,800000,0.0003,2.6779,Artery,,
right_posterior_tibial_artery,-63.005,-64.247,189.21,4.8E-06,800000,0.0003,2.444,Artery,,
right_posterior_tibial_artery,-60.714,-64.281,137.87,4.8E-06,800000,0.0003,2.1714,Artery,,
right_posterior_tibial_artery,-54.714,-54.555,73.671,4.8E-06,800000,0.0003,1.8211,Artery,,
right_posterior_tibial_artery,-57.034,-61.755,3.5545,4.8E-06,800000,0.0003,1.4272,Artery,,
right_posterior_tibial_artery,-53.224,-60.553,-11.213,4.8E-06,800000,0.0003,1.3443,Artery,,
right_posterior_tibial_artery,-45.885,-57.082,-24.718,4.8E-06,800000,0.0003,1.2503,Artery,,
right_posterior_tibial_artery,-54.47,-67.155,-32.406,4.8E-06,800000,0.0003,1.1711,Artery,,
right_posterior_tibial_artery,-67.675,-86.131,-40.194,4.8E-06,800000,0.0003,0.88744,Artery,terminal,
right_anterior_tibial_artery,-100.517,-74.8238,292.795,4.3E-06,800000,0.0003,3.4071,Artery,,
right_anterior_tibial_artery,-97.9668,-89.0595,265.709,4.3E-06,800000,0.0003,3.3184,Artery,,
right_anterior_tibial_artery,-92.73,-94.407,226.85,4.3E-06,800000,0.0003,3.187,Artery,,
right_anterior_tibial_artery,-92.016,-93.791,179.61,4.3E-06,800000,0.0003,3.044,Artery,,
right_anterior_tibial_artery,-88.747,-89.484,122.33,4.3E-06,800000,0.0003,2.8646,Artery,,
right_anterior_tibial_artery,-84.941,-90.357,79.647,4.3E-06,800000,0.0003,2.7304,Artery,,
right_anterior_tibial_artery,-76.243,-95.44,40.483,4.3E-06,800000,0.0003,2.5831,Artery,,
right_anterior_tibial_artery,-70.683,-91.838,6.7363,4.3E-06,800000,0.0003,2.3767,Artery,terminal,
celiac_artery,6.7566,-118.44,1083.3,3.42E-05,400000,0.0006,4.4126,Artery,,
celiac_artery,5.6096,-127.69,1081.2,3.42E-05,400000,0.0006,3.059,Artery,trifurcation,
splenic_artery,9.447,-129.85,1079.4,1.52E-05,400000,0.0005,2.4881,Artery,,
splenic_artery,14.476,-129.66,1075.9,1.52E-05,400000,0.0005,2.141,Artery,,
splenic_artery,22.367,-124.71,1072.8,1.52E-05,400000,0.0005,1.8468,Artery,,
splenic_artery,30.195,-116.17,1072.5,1.52E-05,400000,0.0005,1.6401,Artery,,
splenic_artery,38.867,-110.37,1074.2,1.52E-05,400000,0.0005,1.5511,Artery,,
splenic_artery,49.439,-105.89,1076.8,1.52E-05,400000,0.0005,1.1723,Artery,,
splenic_artery,62.074,-101.02,1080.1,1.52E-05,400000,0.0005,1.2957,Artery,,
splenic_artery,78.856,-100.27,1084.6,1.52E-05,400000,0.0005,0.93558,Artery,terminal,
hepatic_artery,0.88106,-133.37,1079.5,2.3E-05,600000,0.0003,2.1152,Artery,,
hepatic_artery,-4.0411,-138.07,1077.4,2.3E-05,600000,0.0003,1.9715,Artery,,
hepatic_artery,-9.7874,-139.91,1079.3,2.3E-05,600000,0.0003,1.9701,Artery,,
hepatic_artery,-13.409,-140.77,1083.5,2.3E-05,600000,0.0003,1.8221,Artery,terminal,
left_gastric_artery,11.649,-131.73,1086.7,7.1E-06,600000,0.0004,1.5358,Artery,,
left_gastric_artery,16.105,-134.04,1093.2,7.1E-06,600000,0.0004,1.3759,Artery,,
left_gastric_artery,19.292,-132.18,1105.8,7.1E-06,600000,0.0004,1.2811,Artery,,
left_gastric_artery,20.292,-128.37,1117.3,7.1E-06,600000,0.0004,1.2041,Artery,,
left_gastric_artery,21.38,-130.72,1124.4,7.1E-06,600000,0.0004,1.1325,Artery,,
left_gastric_artery,22.419,-136.18,1124.6,7.1E-06,600000,0.0004,1.0065,Artery,,
left_gastric_artery,22.394,-146.17,1118.8,7.1E-06,600000,0.0004,1.268,Artery,,
left_gastric_artery,23.688,-154.24,1113.3,7.1E-06,600000,0.0004,1.2394,Artery,,
left_gastric_artery,25.293,-163.07,1103,7.1E-06,600000,0.0004,1.2553,Artery,,
left_gastric_artery,20.86,-168.08,1090,7.1E-06,600000,0.0004,1.242,Artery,terminal,
